Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download),,,,,,,,
Download Date: 12/31/2022,,,,,,,,
,,,,,,,,
Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) ,,,,,,,,
"Location (Lat/Lon of 4-km Grid Cell Center): 30.0625 North,70.8125 East ",,,,,,,,
Variable List: ,,,,,,,,
tmax: tmax (Maximum Temperature),,,,,,,,
tmin: tmin (Minimum Temperature),,,,,,,,
ppt: ppt (Precipitation),,,,,,,,
soil: soil (Soil Moisture),,,,,,,,
ws: ws (Wind Speed),,,,,,,,
q: q (Runoff),,,,,,,,
********************************************************,,,,,,,,
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),ws(mps),q(mm),Flood
1979,10,35.06,18.09,4.8,0.2,0.95,0.2,FALSE
1979,11,26.15,12.95,2.6,0.2,0.67,0.1,FALSE
1979,12,22.59,6.15,10.2,0.2,0.53,0.5,FALSE
1980,1,20.97,4.05,10,0.2,0.79,0.5,FALSE
1980,2,24.35,8.51,5.8,0.2,1.02,0.3,FALSE
1980,3,27.68,12.14,15,0.2,1.51,0.8,FALSE
1980,4,37.71,20.52,1.1,0.2,1.53,0.1,FALSE
1980,5,41.58,24.34,0.5,0.2,1.93,0,FALSE
1980,6,41.51,27.28,9.1,0.2,1.95,0.5,FALSE
1980,7,38.79,28.12,55.4,0.2,1.14,2.8,FALSE
1980,8,38.37,26.47,8.8,0.2,1.76,0.4,FALSE
1980,9,37.62,23.42,9,0.2,1.06,0.4,FALSE
1980,10,35.49,18.58,6.7,0.2,1.06,0.3,FALSE
1980,11,28.12,10.82,2.4,0.2,0.56,0.1,FALSE
1980,12,23.04,6.2,12.1,0.2,0.75,0.6,FALSE
1981,1,20.85,5.56,20.8,0.2,0.92,1,FALSE
1981,2,24.81,8.76,12.8,0.2,1.07,0.6,FALSE
1981,3,28.52,13.62,19.6,0.2,1.36,1,FALSE
1981,4,36.84,20.13,0.9,0.2,1.75,0,FALSE
1981,5,41.04,23.9,5.7,0.2,2.07,0.3,FALSE
1981,6,41.7,27.03,0.9,0.2,1.98,0,FALSE
1981,7,37.68,27.53,97.1,0.2,1.49,4.9,FALSE
1981,8,37.6,26.55,23,0.2,1.5,1.1,FALSE
1981,9,37.98,24.08,0.7,0.2,1.02,0,FALSE
1981,10,34.28,17.17,2.1,0.2,1.04,0.1,FALSE
1981,11,27.18,10.48,6,0.2,0.72,0.3,FALSE
1981,12,23.44,5.77,0.4,0.2,0.54,0,FALSE
1982,1,20.5,5.51,15.3,0.2,0.99,0.8,FALSE
1982,2,20.67,7.2,7.8,0.2,1.22,0.4,FALSE
1982,3,25.84,11.11,25.8,0.2,1.3,1.3,FALSE
1982,4,34.48,18.63,7.8,0.2,1.88,0.4,FALSE
1982,5,37.36,22.02,20.6,0.2,1.79,1,FALSE
1982,6,40.95,26.42,0.9,0.2,2.41,0,FALSE
1982,7,40.14,27.68,35.1,0.2,1.84,1.8,FALSE
1982,8,37.62,26.52,41.2,0.2,1.43,2.1,FALSE
1982,9,37.43,22.74,0.8,0.2,1.56,0,FALSE
1982,10,34.82,18.61,15.5,0.2,0.83,0.8,FALSE
